TxPackets;TxTime;TxId;xPos;yPos
7068;1342;12;40;47
7087;1346;0;65;54
7106;1347;5;31;25
7125;1348;17;17;41
7144;1349;13;87;90
7163;1350;15;3;8
7182;1351;6;78;15
7201;1351;7;42;76
7220;1352;11;99;17
7239;1353;-1;66;72
7258;1353;8;86;96
7277;1354;1;71;52
7296;1355;9;4;40
7315;1355;10;42;16
7334;1356;2;5;26
7353;1356;16;32;89
7372;1359;3;17;55
7391;1362;12;40;47
7410;1366;0;65;54
7429;1367;5;31;25
7448;1368;17;17;41
7467;1369;13;87;90
7486;1370;15;3;8
7505;1371;6;78;15
7524;1371;7;42;76
7543;1372;11;99;17
7562;1373;-1;66;72
7581;1373;8;86;96
7600;1374;1;71;52
7619;1375;9;4;40
7638;1375;10;42;16
7657;1376;2;5;26
7676;1376;16;32;89
7695;1379;3;17;55
7714;1382;12;40;47
7733;1386;0;65;54
7752;1387;5;31;25
7771;1388;17;17;41
7790;1389;13;87;90
7809;1390;15;3;8
7828;1391;6;78;15
7847;1391;7;42;76
7866;1392;4;59;25
7885;1392;11;99;17
7904;1393;-1;66;72
7923;1393;8;86;96
7942;1394;1;71;52
7961;1395;9;4;40
7980;1395;10;42;16
7999;1396;2;5;26
8018;1396;16;32;89
8037;1399;3;17;55
8056;1400;1;71;52
8075;1402;12;40;47
8094;1406;0;65;54
8113;1407;5;31;25
8132;1408;17;17;41
8151;1409;13;87;90
8170;1410;15;3;8
8189;1411;6;78;15
8208;1411;7;42;76
8227;1412;4;59;25
8246;1412;11;99;17
8265;1413;-1;66;72
8284;1413;8;86;96
8303;1415;9;4;40
8322;1415;10;42;16
8341;1416;2;5;26
8360;1416;16;32;89
8379;1419;3;17;55
8398;1420;1;71;52
8417;1422;12;40;47
8436;1426;0;65;54
8455;1427;5;31;25
8474;1428;17;17;41
8493;1429;13;87;90
8512;1430;15;3;8
8531;1431;6;78;15
8550;1431;7;42;76
8569;1432;4;59;25
8588;1432;11;99;17
8607;1433;-1;66;72
8626;1433;8;86;96
8645;1435;9;4;40
8664;1435;10;42;16
8683;1436;2;5;26
8702;1436;16;32;89
8721;1437;18;63;53
8740;1439;3;17;55
8759;1440;1;71;52
8778;1442;12;40;47
8797;1446;0;65;54
8816;1447;5;31;25
8835;1448;17;17;41
8854;1449;13;87;90
8873;1450;15;3;8
8892;1451;6;78;15
8911;1451;7;42;76
8930;1452;4;59;25
8949;1452;11;99;17
8968;1453;-1;66;72
8987;1453;8;86;96
9006;1455;9;4;40
9025;1455;10;42;16
9044;1456;2;5;26
9063;1456;16;32;89
9082;1457;18;63;53
9101;1459;3;17;55
9120;1459;14;8;71
9139;1460;1;71;52
9158;1462;12;40;47
9177;1466;0;65;54
9196;1467;5;31;25
9215;1468;17;17;41
9234;1469;13;87;90
9253;1470;15;3;8
9272;1471;6;78;15
9291;1471;7;42;76
9310;1472;4;59;25
9329;1472;11;99;17
9348;1473;-1;66;72
9367;1473;8;86;96
9386;1475;9;4;40
9405;1475;10;42;16
9424;1476;2;5;26
9443;1476;16;32;89
9462;1477;18;63;53
9481;1479;3;17;55
9500;1479;14;8;71
9519;1480;1;71;52
9538;1482;12;40;47
9557;1486;0;65;54
9576;1487;5;31;25
9595;1488;17;17;41
9614;1489;13;87;90
9633;1490;15;3;8
9652;1491;6;78;15
9671;1491;7;42;76
9690;1492;4;59;25
9709;1492;11;99;17
9728;1493;-1;66;72
9747;1493;8;86;96
9766;1495;9;4;40
9785;1495;10;42;16
9804;1496;2;5;26
9823;1496;16;32;89
9842;1497;18;63;53
9861;1499;3;17;55
9880;1499;14;8;71
9899;1500;1;71;52
9918;1502;12;40;47
9937;1506;0;65;54
9956;1507;5;31;25
9975;1508;17;17;41
9994;1509;13;87;90
10013;1510;15;3;8
10032;1511;6;78;15
10051;1511;7;42;76
10070;1512;4;59;25
10089;1512;11;99;17
10108;1513;-1;66;72
10127;1513;8;86;96
10146;1515;9;4;40
10165;1515;10;42;16
10184;1516;2;5;26
10203;1516;16;32;89
10222;1517;18;63;53
10241;1519;3;17;55
10260;1519;14;8;71
10279;1520;1;71;52
10298;1522;12;40;47
10317;1526;0;65;54
10336;1527;5;31;25
10355;1528;17;17;41
10374;1529;13;87;90
10393;1530;15;3;8
10412;1531;6;78;15
10431;1531;7;42;76
10450;1532;4;59;25
10469;1532;11;99;17
10488;1533;-1;66;72
10507;1533;8;86;96
10526;1535;9;4;40
10545;1535;10;42;16
10564;1536;2;5;26
10583;1536;16;32;89
10602;1537;18;63;53
10621;1539;3;17;55
10640;1539;14;8;71
10659;1540;1;71;52
10678;1542;12;40;47
10697;1546;0;65;54
10716;1547;5;31;25
10735;1548;17;17;41
10754;1549;13;87;90
10773;1550;15;3;8
10792;1551;6;78;15
10811;1551;7;42;76
10830;1552;4;59;25
10849;1552;11;99;17
10868;1553;-1;66;72
10887;1553;8;86;96
10906;1555;9;4;40
10925;1555;10;42;16
10944;1556;2;5;26
10963;1556;16;32;89
10982;1557;18;63;53
11001;1559;3;17;55
11020;1559;14;8;71
11039;1560;1;71;52
11058;1562;12;40;47
11077;1566;0;65;54
11096;1567;5;31;25
11115;1568;17;17;41
11134;1569;13;87;90
11153;1570;15;3;8
11172;1571;6;78;15
11191;1571;7;42;76
11210;1572;4;59;25
11229;1572;11;99;17
11248;1573;-1;66;72
11267;1573;8;86;96
11286;1575;9;4;40
11305;1575;10;42;16
11324;1576;2;5;26
11343;1576;16;32;89
11362;1577;18;63;53
11381;1579;3;17;55
11400;1579;14;8;71
11419;1580;1;71;52
11438;1581;7;42;76
11457;1582;12;40;47
11476;1586;0;65;54
11495;1587;5;31;25
11514;1588;17;17;41
11533;1589;13;87;90
11552;1590;15;3;8
11571;1591;6;78;15
11590;1592;4;59;25
11609;1592;11;99;17
11628;1593;-1;66;72
11647;1593;8;86;96
11666;1595;9;4;40
11685;1595;10;42;16
11704;1596;2;5;26
